Ulasan
Ook
"Makasih, mantaaap bos"
Mwantab..co yg ke dua
"1. Kopi fresh dan wangi.
2. Kemasan dalamnya tidak kedap, jadi masuk angin.
3. Pengiriman ke Jkt, lama banget, 5 hari gengs.
Tapi tetap rekomended dan akan beli lagi."
"1. Kopi fresh dan wangi.
2. Kemasan dalamnya tidak kedap, jadi masuk angin.
3. Pengiriman ke Jkt, lama banget, 5 hari gengs.
Tapi tetap rekomended dan akan beli lagi."
"Mantap, pengiriman cepat,ressseler good"
Mantaps
Bagus
Kualitas produk: Original
Mantap
Alhamdulillah akhirnya sampai setelah jalan jalan ke liling
"Enak kopinya, tp gilingannya msh kurang halus.."
Kopi nya baru sampe pas HR raya tapi blm di cobain semoga sesuai dgn iklan nya
Blom dicoba
Lumayan
Mamtap
"Paket sdh saya terima. 
Niat saya kasih surprise ke suami, tp ternyta dia malah marah. 
Kopinya seperti jamu katanya. 
Mungkin bukan seleranya kali ya... Ya sudahlah...be... "
Meendarat dgn selamat
Kualitas produk: Original
Menyala bosqu..
Jos
"Mantap, terpercaya"
"Testernya kok ngak di kadih...
Bisanya klu beli 1kg dikadih..."
Mantap
cctyfdserdty6753ds6fgy8jfuu7vxgcdtgfuyggyuhhh
Rnak
"Belum dicoba , swmoga cocok"
"Terimakasih Paket sudah sampai, walau agak telat..nda sabar untuk mencoba..ternyata rasanya lebih mwantaaab..."
Kualitas produk: Original
Kualitas produk: Original
Kualitas produk: Original
Kualitas produk: Original
Kualitas produk: Original
Blum dicoba
"Warna dan ukuran betul, 
Cuma tatakannya gak ada seprti di katakan di live"
Mantaps
Mantap dah nyampek kapan2 co lagi
Kurirnya sembarangan di taruh di sebelah tempat sampah
"Barang dah sampai...
Mudah2an enakkkkk😁😁"
"Kopinya mantap, rasa dan kualitas sesuai harapan.
Langsung dieksekusi 👍👍👍"
Good
"Maaf bintangnya saya turunkan
Alasan: tdk konsisten dlm aroma, gilingan dan rasa.
Saya beli pertama semuanya mantap bahkan jadi kopi terbaik. Tp dgn kondisi kopi yg baru... "
Rasa dan aroma mantap
"Kualitas produk: sangat baik
aroma terasa wangi..."
"Aromanya fruty ,rasanya dominan kecut ke asam hampir tanpa ada rasa pahit kopi😂"
Pesanan sampai dengan selamat
Pesanan sampai dengan selamat
"Mantap dapat bonus  tester golden... 
Belum di coba kopinya masih diluar kota,"
"Kualitas produk: Terbaik
Rasanya mantap aromanya harum after taste nya uniiik"
"Kualitas produk: Sangat pas untuk penikmat rasa kopi asli tanpa gula, dengan aroma yg khas kopi murni.
Pas jg bila di tambahkan pemanis gula aren yg alami/ asli"
dyur667e3t345r67yguyyihgt6rrhyggy
"Kopinya mantap.
ini pertama kali beli, cman seperti ada rasa pisangnya…, atau emg rasanya seperti itu ya?"
Mantaps
Kualitas kopinya mantap cuma pengiriman kelamaan ...
"Kualitas produk: Pas untuk penikmat rasa kopi yg asli, kwalitas sesuai dgn harga nya..
Sangat cocok untuk teman santai sambil sruput kopi tanpa gula"
Barang rapi dan bagus cuman bonus nya gak dapat
Ok
Pesanan sampai dengan selamat. Terima kasih 🙏🙏🙏
Pesanan sampai dengan selamat. Terima kasih 🙏🙏🙏
Mantap
................................
.
Mantap gercep 👍
Yg kiriman ke 2 ini rasanya berubah
Kopinya lumayan enak
Rasanya ttp oke
"Aroma. Cukup baik, coffee beans ukuran besar, crema cukup, terasa lebih ringan dan body pas. After taste Ok"
"Belum di coba sih kopinya...
Semoga sesuai ekspektasi"
"Produk belum ada pirt , Arabika nya rasanya cenderung pahit"
Kemasan segel.. kopi harum.. cuma blum rasa sih..
Mantaps
Kopi gayo memang mantap
Yg suka pahit oke ini
"Pengiriman qgak lama,rasa blm tahu krn blm dicoba"
"Yg halus tapi kurang halus jangan jangan ke tukar yg kasar,  tdk keterangan apa halus kasar"
"Kak paket diterima kondisi aman. Terima kasih kepada penjual dan kurir. Semoga semuanya sehat, bahagia, sejahtera dan mendapatkan rezeki yg melimpah"
"Bahan: Bagus
Karakteristik: Bagus
Desain: Bagus
Ukuran: Banyak"
Kualitas produk: Baik
"Paket udah sampai, udah pesan yg kesekian kali.
Kualitas produk: Mantab"
"Aroma mantap, cremanya tebal, rasa pahitnya bersahabat, pengiriman tepat waktu,"
Ayo ngop
"Mungkin uda yg ke 10 kali nya pesan ..
Alhamdulillah puas"
"Kopi wangi asli takengon .. cuman ya itu .. kurir pengiriman … parah banget .. tolong jangan taruh lagi si j&t itu , jangan juga si cepat .. udah bener pake jne"
Sip
"hanya bermasalah di jasa pengiriman nya, pilih sameday malah di kirim nya nextday fftt"
Produk Bagus
"Bahan bagus, solid, hasil gilingan konsisten. worth to buy"
Bagus
Boleh lah
Ak ksh bintang 4 dulu y kk.Soalny ak blm merasa kopinya gmn.Baru aj nyampe.utk admin sgt ramah.ekspedisi Lama juga.dn ak blm liat kode explayerdny
Barang di terima dengan baik tetapi tidak ada free an mengecewakn
Saya sdh 3 kali order tinggal nunggu bonusnya
Enak rasanya sdh 4 kali order yg terakhir 1 kg
Kopinya mantap
"Harum bau kopinya, mantap, terimakasih"
Yes
Koq harganya naik terus ya
bjggydfgztsyewyrrh5dtwr253d48h8rhfotvcjfggdf68rsgtc
Mantaps
"Belum di coba, semoga kopinya mantap"
"Sudah sampai, kemasan baik, ukuran baik"
Sdh diterima tp blm dicoba aromanya enak
"Alhamdulillah puas dengan rasa..
Uda ke tiga kali nya"
"Barang sdh dterima, packingan bgus. Pengriman ke palu sulteng sngat cepat. Trm kasih. Blm di coba, inshaAllah enakk.."
Ok
Mayannn tp agak kerassz
Uda kedua kali nya ..
Tak terkatakan pokoknya rekomendasi kopi ini buat yang paham yang gak paham biar admin yang kasih paham
Paket baru sampai
responsif dan pengirimannya cepat
"Kopinya enak banget, semoga next harganya lebih murah 🙏🏽"
"Kopi gayo memang punya kas sendiri, sudah sering pesan ini yang kesekian kalinya"
"Produk di terima sesuai foto, jahitan rapi kainnya bagus nyaman dipakai"
pengiriman cepat dan rasa kopi mantsp
Bagus
"Dapat bonus stiker, mau nya bonus nya sampel kopi jenis lain 🤭🤭🤭"
Rasanya mantap dan konsisten
Mantap dan rasanya masih konsisten
Mntaps kopiny
Good
Kerenn.....
barang sesuai dan terima kasih
"Rasa kopi nya lumayan,,mokapot nya biasa aja"
Bgus kualitasnya
Paten wak
kopi nya enak sesuai desk...tapi pengiriman lama sampe 2minggu ke bogor
barang oke dan terima kasih
Sudah saya terima paket Kopi Arabika Espreso 500gr..terima kasih
"Kopiny mantap, pas di lambung dan nikmat, aromany yg mak nyuzzss"
Mantap
Mantap sesuai dengan pesanan
"Kopinya enak, wangi.
Kualitas produk: Mantab"
Mungkin lebih mantap yg halus
Mantap
Mantap
"Aduh salah pilih, kirain rosted itu bubuk halus malah biji,,🤑🤑🤑"
Bagus pengiriman  cepat  sampai
Ok manyap
Mantaf
"alhamdulillah barang sudah mendarat om..
belum saya pakai, mudah²an awet
terimakasih dan sukses selalu"
