Ulasan
"Minta kasar di kasih bubuk sedang malah hampir halus,,kalo ga ada yg kasar ngomong"
Pengalaman:kurang
Update PenilaianBintang 2 saja.. pesanan saya biji kopi dikasinya kopi bubuk 😤😤😤 lapaknya kurang teliti
Enak kopinya mantab dan wangi
"Sayang salah kirim gk sesuai dg pesanan, hrganya lebih murah dri pesanan.tp pelayanan bagus lah.."
Enak kopinya mantab dan wangi
