Ulasan
Rasa:pokoknya enakKadaluarsa:lumayàn lamaKualitas:bagusMemang tidak mengecewakan semuanya sesuai dengan deskripsi bagi yg suka kopi bisa coba kopi ini
"Desain:OkeUkuran:SesuaiFungsi:Filter kopiPengiriman baik, packing aman. Bisa dipakai dg baik, semoga awet. Thanks"
Enak kopinya mantab dan wangi
Enak kopinya mantab dan wangi
Enak kopinya mantab dan wangi
"Kenyamanan:adem,nyaman dibadanPas untuk Acara:nyantaiKualitas:ok"
"Rasa:belum di coba,nunggu buka puasa dulu nanti magribPengalaman:belum ada pengalaman dengan kopi iniKonsistensi:tampilan menarik,harum kopi nya sih ok belum tahu rasa nya ok juga atau nggknanti buka puasa di coba, mudah2n sesuai dengan deskripsi."
Enak kopinya mantab dan wangi
Aroma:wangiKualitas:terbaikCocok dengan madu ..
Enak kopinya mantab dan wangi
"Rasa:rasa nya tidak sama yang aku beli  di toko kemaren ,enak rasa yang aku beli di tokoTekstur:memiliki tekstur yang halusKeaslian:kualitas asli sesuai yang diskripsi tapi rasa berbeda"
Pelayanan dan pengiriman sangat lambat .
Enak kopinya mantab dan wangi
Sudah jadi langganan
Enak kopinya mantab dan wangi
"Aroma:aroma yang baok terasa fresh, namun kurang sedikit strongDesain:design dan kemasan baikKeaslian:asli"
"Rasa:ya , sesuai pesananKeaslian:asli kopiKualitas:bagusPengiriman lama di jalan oleh ekspedisi... Padahal satu pulau,  sehingga perjalanan makan waktu 10 hari... Harusnya bisa lebih cepat..."
Enak kopinya mantab dan wangi
belum dicoba
Enak kopinya mantab dan wangi
Enak kopinya mantab dan wangi
"Mantap, kopinya harum sekali"
Enak kopinya mantab dan wangi
Pengirimannya lama bangeeeeet🤦‍♀️
"produk baik dan bisa digunakan, tidak ada kendala bagus bagus"
"produk baik dan bisa digunakan, tidak ada kendala bagus bagus"
Enak kopinya mantab dan wangi
"produk baik dan bisa digunakan, tidak ada kendala bagus bagus"
Tolong packing lebih aman lagi ya dengan harga segitu dibanding yg lain tp untuk packingnya jebol2
Enak kopinya mantab dan wangi
Rasa:memuaskanKualitas:baik
Rasa:lezatKualitas:nikmatKeaslian:oke kuits
Enak kopinya mantab dan wangi
Enak kopinya mantab dan wangi
Kualitas:baikRasa:mantap
Enak kopinya mantab dan wangi
Enak kopinya mantab dan wangi
"Rasa:mantapKadaluarsa:kadaluarsa panjanhKualitas:mantapPesanan sampai, ini udh order yg keberapa kalinya. Jos"
Enak kopinya mantab dan wangi
Enak kopinya mantab dan wangi
Kopi ny wangi..enak.. next beli lgi... kualitas harus terjaga y...😊
Enak kopinya mantab dan wangi
Enak kopinya mantab dan wangi
Rasa:gk di ragukan lagi soal rasa
Enak kopinya mantab dan wangi
Rasa:matapKualitas:tida mengecewakan sangat puas dengan produknya
Enak kopinya mantab dan wangi
Sipp
Enak kopinya mantab dan wangi
Rasa:Baru unboxing aromanya langsung kecium
Enak kopinya mantab dan wangi
Enak kopinya mantab dan wangi
Rasa:segerKualitas:mantapKopi andalan
"Ok
Sudah sering pesan di sini"
Kualitas:mantappppRasa:segerrrSelalu puasss dengan produk ini
Enak kopinya mantab dan wangi
Enak kopinya mantab dan wangi
Kualitas:bagusRasa:mantapKualitas bagus rasa mantap
Kualitas:premiumRasa:MantapPaling cocok
Enak kopinya mantab dan wangi
Rasa:nikmatKualitas:baunya meusap² 😁😁
Sedikit kecewa yg sy pesan biji 1 tp yg datang bubuk smua. Tp nga apa lah
Rasa:BoldMantap
Enak kopinya mantab dan wangi
"Rasa:enak, haum.Kualitas:ori"
Kualitas:baguusRasa:enakBarang dah sampai bagus enak sudah kesekian x nya aku beli kopi di toko ini sangat sangat rekomendasi  pokonyaa mntaap
Rasa:enak dan nikmat (harumnya sangat khas)Kualitas:terbaik
"Kualitas:bagusTerimakasih kk paketnya udh sampai, sesuai dgn pesanan.... Blm di cb moga aja suami qu suka..."
Enak kopinya mantab dan wangi
Kualitas:LumayanRasa:Lumayan
"Kualitas:bagusRasa:wangi, gurihPaket diterima dgn baik sesuai pesanan
Packing bagus
Pengiriman cepat"
Enak kopinya mantab dan wangi
"Kualitas:baikRasa:mantap dan nikmatPesenan nya yang datang biji kopi,padahal pesannya bubuk halus"
Enak kopinya mantab dan wangi
Kualitas:👍Rasa:👍Mantap
Kualitas:mantapRasa:lumayan enak
Enak kopinya mantab dan wangi
"Rasa:mantappKirain GK bakal di kirim krna toko nya pas saya order 24 jam tidak aktif,,, ternyata barang dtng, ps ygbdtng 2. Kopi nya wangi banget, aroma yaa Allah mantap, rasa nya juga top markotop"
Rasa:tidak di ragukan lgKualitas:original produk
Enak kopinya mantab dan wangi
Ok
Jooooosssss
Enak kopinya mantab dan wangi
Enak kopinya mantab dan wangi
Enak kopinya mantab dan wangi
Rasa:blum di coba tp wangi nya enakKualitas:mantapPacking rapi pengiriman cepat
Rasa:belum coba mudah2an cocokKualitas:baik harummBarang baik pengiriman cepat respon penjual ramah packing rapi
Enak kopinya mantab dan wangi
Tidak di ragukan lagi kwalitas produk
Rasa:enak aroma strongKualitas:bagusSy suka kopi ini
Enak kopinya mantab dan wangi
Rasa:baikKualitas:baik
"Rasa:belum dicobaKualitas:belum divcobaPaket tlh diterima sesuai orderan
Packing bagus
Pengiriman sangat cepat"
"rasa paling kuat,
hitam pekat,
pazti tahan lama, 
after eaf no kecutkecut"
Enak kopinya mantab dan wangi
"Bubuk kopinya menurutku agak kasar, kurang halus.
Jadi terpaksa aku tumbuk lagi pakai tumbukan tangan trus di ayak lagi. Soalnya udah biasa minum kopi kampung yg super mantap..
Soal rasa sebenarnya ini udah lumayan enak, cuma ya itu, kurang halus..
Terimakasih.."
Rasa:okKualitas:belum tau.semoga saja ok
Enak kopinya mantab dan wangi
Rasa:rasanya lumayan ajaKualitas:beda banget....
Enak kopinya mantab dan wangi
Rasa:maaf belum sempat cobaKualitas:kemasan baik dan rapi
Enak kopinya mantab dan wangi
Gada tanggal sangrai
Enak kopinya mantab dan wangi
